datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2019-11-05T16:46:27	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26585	Plantae				Bromeliaceae	Billbergia	elegans		Billbergia elegans	Mart. ex Schult. & Schult.f.		2011	08	04	Antônio-Silva, L.; Lucon, T.	197				Antônio-Silva, L.	2012	08	29		Pains	Cerrado - Mata seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		678	678									<nO>Erva epífita ou saxícola de aprox. 50cm de altura.. Escapo avermelhado, brácteas escapais vermelhas, flores com sépalas vermelhas, pétalas verdes com ápice arroxeado</nO>																					
2019-11-06T09:56:54	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26870	Plantae				Orchidaceae	Trichocentrum	cebolleta		Trichocentrum cebolleta	(Sw.) M.W.Chase & N.H.Williams		2011	04	21	Antônio-Silva, L.; Lucon, T.	214				Antônio-Silva, L.	2013	01	30		Pains	Entorno dos maciços calcários. Cerrato - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		785	785									<nO>Erva epífita ou raramente rupícula, flores com pétalas amarelas com máculas caramelo</nO>																					
2019-11-05T16:46:16	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25632	Plantae				Bignoniaceae							2011	06	24	Antônio-Silva, L.; Lucon, T.	332									Pains	Fazenda Lagoa do Retiro, Estrada para Lagoa do Retiro. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		807	807									<nO>Trepadeira com flores amarelas</nO>																					
2019-11-05T16:46:30	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26584	Plantae				Bromeliaceae	Tillandsia	recurvata		Tillandsia recurvata	(L.) L.		2011	08	03	Antônio-Silva, L.; Lucon, T.	202				Antônio-Silva, L.	2011	08	04		Pains	Fazenda Perobas	0	0	-45.6613998413086	-20.3705997467041	18263		673	673									<nO>Erva epífita. Flores lilases e cálice esverdeado. Cerrado - Mata Seca de Pains.</nO>																					
2019-11-06T09:56:16	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	27000	Plantae				Malvaceae	Guazuma	ulmifolia		Guazuma ulmifolia	Lam.		2011	04	23	Antônio-Silva, L.; Lucon, T.	376				Antônio-Silva, L.	2013	02	22		Pains	Próximo à gruta Buraco dos Curiós, em meio a pastagem. Cerrado - Mata seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		707	707									<nO>Mutambinha; Arbórea aprox. 4m de altura, flores amareladas, aromáticas, frutos imaturos verdes</nO>																					
2019-11-05T16:46:27	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26582	Plantae				Bromeliaceae	Acanthostachys	strobilacea		Acanthostachys strobilacea	(Schult. & Schult.f.) Klotzsch		2011	11	15	Antônio-Silva, L.; Lucon, T.	205				Antônio-Silva, L.	2012	08	29		Pains	Próximo a Lagoa do Retiro. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		875	875									<nO>Erva epífita com flores amarelas e brácteas florais alaranjadas</nO>																					
2019-11-05T16:32:31	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26680	Plantae				Alstroemeriaceae	Alstroemeria			Alstroemeria			2011	08	05	Antônio-Silva, L.; Lucon, T.	349									Pains	Próximo à mineração 505, sobre rocha calcária	0	0	-45.6613998413086	-20.3705997467041	18263		785	785									<nO>Erva rupícola, ca. 70cm de altura, flores vermelhas com guias de néctar amarelas, frutos verdes, com caducifólia. Cerrado, Mata Seca de Pains</nO>																					
2024-03-25T15:24:04	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26999	Plantae				Fabaceae	Centrolobium	tomentosum		Centrolobium tomentosum	Guillem. ex Benth.		2011	04	21	Antônio-Silva, L.; Lucon, T.	385				Antônio-Silva, L.	2013	02	22		Pains		0	0	-45.6613998413086	-20.3705997467041	18263		749	749									<nO>Arbórea, aprox. 4m de altura, com frutos esverdeados, caule com resina branca. Cerrado - Mata Seca de Pains; em meio a pastagem.</nO>																					
2019-11-05T16:46:16	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26674	Plantae				Bignoniaceae							2011	04	22	Antônio-Silva, L.; Lucon, T.	216									Pains	Entorno de maciços calcários. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		779	779									<nO>Liana, flores lilases com guias de néctar atrovináceos, cálice verde-rosado</nO>																					
2019-11-06T09:55:40	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26737	Plantae				Fabaceae	Senna	multijuga		Senna multijuga	(Rich.) H.S.Irwin & Barneby		2011	04	21	Antônio-Silva, L.; Lucon, T.	207				Queiroz, R.T.	2013	01	29		Pains	Fazenda Caximbo	0	0	-45.6613998413086	-20.3705997467041	18263		0	0									<nO>Arvoreta com 3m de altura. Flores amarelas. Cálice e sépalas amarelo esverdeado. Cerrado</nO>																					
2019-11-06T09:55:45	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26998	Plantae				Gesneriaceae							2011	04	21	Antônio-Silva, L.; Lucon, T.	402									Pains	Fazenda Lagoa do Retiro, Próximo à Lagoa do Retiro em maciço calcário	0	0	-45.6613998413086	-20.3705997467041	18263		738	738									<nO>Erva, ca. 10cm de altura, flores amareladas. Umbrófila vivendo como saxícola nas paredes dos maciços calcários em áreas úmidas. Cerrado - Mata Seca de Pains</nO>																					
2019-11-05T16:46:27	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26608	Plantae				Boraginaceae	Cordia			Cordia			2011	06	24	Antônio-Silva, L.; Lucon, T.	330									Pains	Lagoa do Retiro, Em área de pastagem, próximo à Lagoa do Retiro. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		787	787									<nO>Arbórea aprox. 4m de altura, flores brancas, aromática, 5 pétalas, cálice verde</nO>																					
2023-12-20T16:05:51	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	163728	Plantae				Picramniaceae	Picramnia	ramiflora		Picramnia ramiflora	Planch.		2003	12	08	Melo, PHA	1005				Pirani, JR	2004				Pains	Fazenda Amargoso, MG 439, km 16.	-20.382083	-45.651167	-45.651167	-20.382083			650	700									<nO>Arbusto na borda de trilha em mata calcária, frutos alaranjados.</nO>	SPF00163728																				
2023-12-20T16:10:27	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	160234	Plantae				Vitaceae	Cissus	verticillata		Cissus verticillata	(L.) Nicolson & C.E.Jarvis		2003	12	30	Melo, PHA	288				Lombardi, JA					Pains		-20.387222	-45.649722	-45.649722	-20.387222														SPF00160234																				
2024-01-30T15:24:19	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	160216	Plantae				Solanaceae	Lycianthes	repens		Lycianthes repens	(Spreng.) Bitter		2003	12	30	Melo, PHA	267				Stehmann, JR					Pains		-20.387222	-45.649722	-45.649722	-20.387222														SPF00160216																				
2023-12-20T16:01:53	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168345	Plantae				Leguminosae	Platycyamus	regnellii		Platycyamus regnellii	Benth.		1991	01	23	Rollo, MAL	2				Cordeiro, I	2005	05			Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00168345																				
2024-01-30T15:22:44	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	197045	Plantae				Moraceae	Ficus	guaranitica		Ficus guaranitica	Chodat		2006	07	13	Borges, RAX	186				Machado, AFP	2010	01	20		Pains	Mineração Vale de São Miguel. Região cástica; encosta de afloramento calcário com a presença de lianas e rupícolas.	-20.354167	-45.673333	-45.673333	-20.354167			720	720									<nO>Árvore 10 m, folhas levemente discolores, pouca quantidade de látex. Sicônios verdes pintados de castanhos.</nO>	SPF00197045																				
2023-12-20T15:56:05	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	188865	Plantae				Bignoniaceae	Adenocalymma	coriaceum		Adenocalymma coriaceum	DC.		2003	09	09	Melo, PHA	836				Fonseca, LHM	2016	03			Pains	Fazenda Amargoso, MG 439 Km 16.	-20.387222	-45.649722	-45.649722	-20.387222			750	750									<nO>Trepadeira na borda de mata, frutos imaturos verdes.</nO>	SPF00188865																				
2019-11-05T16:46:15	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25631	Plantae				Begoniaceae	Begonia			Begonia			2011	06	25	Antônio-Silva, L.; Lucon, T.	331									Pains	Próximo a cavidade H155. Sobre afloramento calcário. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		722	722									<nO>Subarbusto aprox. 1m de altura, com flores brancas e róseas, frutos verdes</nO>																					
2019-11-05T16:46:30	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25634	Plantae				Bromeliaceae	Tillandsia	loliacea		Tillandsia loliacea	Mart. ex Schult. & Schult.f.		2011	06	25	Antônio-Silva, L.; Lucon, T.	334				Antônio-Silva, L.	2011	10	27		Pains	Proximo a cavidade H155	0	0	-45.6613998413086	-20.3705997467041	18263		722	722									<nO>Erva epífita. Com flores amarelas. Cerrado - mata seca de Pains. Sobre afloramento de rocha calcária.</nO>																					
2019-11-05T16:46:27	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26609	Plantae				Bromeliaceae	Aechmea	distichantha		Aechmea distichantha	Lem.		2011	06	25	Antônio-Silva, L.; Lucon, T.	336				Antônio-Silva, L.	2011	10	27		Pains	Próximo a cavidade H155. Sobre afloramento de rocha calcária. Cerrado - Mata seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		722	722									<nO>Rupícola com brácteas e escapo róseo e flores roxas. Exsicatas A e B</nO>																					
2019-11-06T09:56:59	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26581	Plantae				Piperaceae	Peperomia			Peperomia			2012	01	15	Antônio-Silva, L.; Lucon, T.	206									Pains	Próximo à Lagoa do Retiro, associada aos maciços calcários em áreas úmidas	0	0	-45.6613998413086	-20.3705997467041	18263		875	875									<nO>Flores pálidas, planta umbrófila. Floresta estacional semidecidual</nO>																					
2021-11-29T09:59:53	PreservedSpecimen	Brasil	Minas Gerais	UFU	HUFU	75244	Plantae				Melastomataceae	Pleroma	stenocarpum		Pleroma stenocarpum	(Schrank & Mart ex DC.) Triana		2006	04	22	Melo, P.H.A.	1527				Romero, R.	2017	11			Pains	Região do Córrego Barreado.	0	0	-45.6614	-20.3706	18263												<nO>Árvore terrícola.; Afloramentos entremeados por cursos d'água.</nO>	HUFU00072863																				
2021-11-29T09:55:38	PreservedSpecimen	Brasil	Minas Gerais	UFU	HUFU	80111	Plantae				Fabaceae							2018	05	21	Bovini, M.G.; Baumgratz, J.F.; Ferreira, C.D.; Valente, B. & Leite, G.	4406									Pains	Calciolândia, Acompanhando a linha do trem, próximo a margem do Rio São Miguel. Área de extração de calcário.	-20.238056	-45.664167	-45.664167	-20.238056			652	652									<nO>Arbusto escandente, heliófilo. Folhas membranáceas, concolores. Inflorescência amarela.</nO>	HUFU00078327																				
2023-10-26T10:11:47	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22079	Plantae				Euphorbiaceae	Manihot			Manihot			2015	01	26	J. M. P. Cordeiro; L. P. Felix; E. M. Almeida & M. A. O. Marinho	960									Pains	Próximo à usina de processamento de cimento	20°23'28"S	45°36'22,6"W	-45.6614	-20.3706	18263		786	786									<nO>Erva rupícula, em afloramentos de calcário, Cerrado/ Mata úmida.Habitat: Erva</nO>																					
2023-10-26T10:12:09	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22045	Plantae				Solanaceae	Solanum			Solanum			2015	01	26	J. M. P. Cordeiro; E. M. Almeida; M. A. O. Marinho & L. P. Felix	958				M. F. Agra	2018				Pains	Próximo à usina de processamento de cimento	20°23'28"S	45°36'22,6W	-45.6614	-20.3706	18263		786	786									<nO>Arvoreta; ramos esponjosos, saxícolas; frutos imaturos esverdeado; afloramentos rochosos de calaário, Cerrado/Mata úmida.Habitat: Arvoreta</nO>																					
2023-10-26T10:11:34	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22163	Plantae				Bignoniaceae	Tanaecium	selloi		Tanaecium selloi	(Spreng.) L.G.Lohmann		2015	01	26	J. M. P. Cordeiro; E. M. Almeida; L. P. Felix & M. A. O. Marinho	976				J. M. P. Cordeiro	2018	04	04		Pains	Próximo à usina de processamento de cimento	20°23'28"S	45°36'22,6"W	-45.6614	-20.3706	18263		786	786									<nO>Liana, flores rosas, odor suave, em afloramentos de cálcario, Cerrado/Mata únida.Habitat: Liana</nO>																					
2022-05-28T13:24:56	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22015	Plantae				Orchidaceae	Cattleya	bicolor		Cattleya bicolor	Lindl.		2015	01	26	J. M. P. Cordeiro; L. P. Felix; E. M. Almeida & M. A. O. Marinho	946									Pains	Próximo a Usina de processamento de cimento	20°23'28"S	45°36'22,6"W	-45.606278	-20.391111			786	786									<nO>Erva rupícola, sobre calcário dolomítico, flores rosadas, com sépalas marrons. Cerrado/Mata úmida.</nO>																					
2023-10-26T10:11:43	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22824	Plantae				Euphorbiaceae	Croton	triqueter		Croton triqueter	Lam.		2015	01	26	J. M. P. Cordeiro; L. P. Felix; E. M. Almeida & M. A. O. Marinho	972									Pains	Próximo à usina de processamento de cimento	20°23'28"S	45°36'22,6"W	-45.6614	-20.3706	18263		786	786									<nO>Subarbusto, cerca de 60 cm; flores amarelas, áreas de pastagens.Habitat: Subarbusto</nO>																					
2023-10-26T10:11:35	PreservedSpecimen	Brasil	Minas Gerais	UFPB	EAN	22053	Plantae				Euphorbiaceae							2015	01	26	J. M. P. Cordeiro; L. P. Felix; E. M. Almeida & M. A. O. Marinho	980									Pains	Próximo à usina de processamento de cimento	20°23'28"S	45°36'22,6"W	-45.6614	-20.3706	18263		786	786									<nO>Erva lactescente; inflorescência vere, em afloramento de calcário, Cerrado, mata úmida.Habitat: Erva</nO>																					
2023-12-20T15:56:30	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	188956	Plantae				Bignoniaceae	Handroanthus	serratifolius		Handroanthus serratifolius	(Vahl) S.O.Grose		2003	08	09	Melo, PHA	798				Lohmann, LG	2008				Pains	Fazenda Amargoso, MG 439 Km 16	-20.392896	-45.646174	-45.646174	-20.392896			750	750									<nO>Arborea 12 m., flores amarelas; vegtação secundaria</nO>	SPF00188956																				
2021-11-29T09:52:19	PreservedSpecimen	Brasil	Minas Gerais	UFU	HUFU	75021	Plantae				Asteraceae	Gardnerina	angustata		Gardnerina angustata	(Gardner) R.M.King & H.Rob.		2005	12	31	Melo, P.H.A.; Melo Jr, E.A.	1354				Melo, P.H.A.	2011	05			Pains	Reg. do Corumbá, próximo ao Morro do Marruá, Mineração Agrocampo.	-20.348889	-45.636389	-45.636389	-20.348889			700	800									<nO>Erva, ereta, saxícola, até 1m, anual, viscosa, flores alvas, brácteas involucrais verdes.; Relacionada a afloramento calcário, no sub-bosque de mata.</nO>	HUFU00073409																				
2021-11-29T09:49:40	PreservedSpecimen	Brasil	Minas Gerais	UFU	HUFU	55124	Plantae				Acanthaceae	Justicia	brasiliana		Justicia brasiliana	Roth		2006	07	11	Borges, R.A.X.; Bernardo, P.H.	206				Prolice, S.R.	2008				Pains	Mineração Vale do São Miguel, Próximo ao rio Miguel.	-20.366389	-45.669722	-45.669722	-20.366389													<nO>Arbusto, ca. 1,5 m. Cálice verde, corola vermelha, filetes brancos, anteras castanhas e frutos nigrescentes.</nO>	HUFU00000033																				
2023-08-07T16:34:57	PreservedSpecimen	Brasil	Minas Gerais	UFPB	JPB	55224	Plantae	Angiosperma			Solanaceae	Solanum	scuticum		Solanum scuticum	M.Nee		2006	07	11	Borges, RAX; Bernardo, PH	213				Agra, MF	2006	11		Southern America	Pains	Mineração Vale de São Miguel, Região cárstica, mata seca decidual sobre afloramento de calcáreo próximo ao Rio São Miguel	-20	-45	-45	-20			629	629									<nO>; DESC: Arbusto 2 m alt.; gríseo-tomentoso; folhas discolores, cálice verde, corola alva, estames amarelos; frutos verdes.</nO>	JPB0055224																				
2024-10-29T07:36:38	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	245346	Plantae	Angiospermae			Leguminosae Subfam. Caesalpinioideae (Mimosoide)	Calliandra	foliolosa		Calliandra foliolosa	Benth.		2006	11	25	Melo, P.H.A.	2441				L.P.de Queiroz	2018	12			Pains	Nascentes do Rio São Miguel, Região do Onça.	20°25'53''S	45°37'9''W	-45.619167	-20.431389														HUEFS0245346																				
2024-10-29T07:36:38	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	94256	Plantae	Angiospermae			Leguminosae Subfam. Caesalpinioideae (Mimosoide)	Calliandra	foliolosa		Calliandra foliolosa	Benth.		2003	05	25	Melo, P.H.A.	635				E.R.de Souza	2007	11			Pains	Fazenda Amargoso, MG 439 km 16	20°23'14''S	45°38'59''W	-45.649722	-20.387222			750	810										HUEFS0094256																				
2024-10-29T07:48:29	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	118803	Plantae	Angiospermae			Rhamnaceae	Gouania	polygama		Gouania polygama	(Jacq.) Urb.		2003	03	22	Melo, P.H.A.	488									Pains	Fazenda Amargosa,MG 439 KM 16.	20°23'14''S	45°38'59''W	-45.649722	-20.387222														HUEFS0118803																				
2024-10-29T07:27:53	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	75210	Plantae	Angiospermae			Verbenaceae	Lantana	camara		Lantana camara	L.		2002	12	31	Melo, P.H.A.	304				J.A.Lombardi					Pains	Fazenda Faroeste, margem direita do Rio São Miguel.	20°15'6''S	45°39'47''W	-45.663056	-20.251667														HUEFS0075210																				
2024-10-29T07:39:29	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	94266	Plantae	Angiospermae			Leguminosae Subfam. Papilionoideae	Dahlstedtia	muehlbergiana		Dahlstedtia muehlbergiana	(Hassl.) M.J.Silva & A.M.G.Azevedo		2003	03	22	Melo, P.H.A.	516				L.P.de Queiroz	2012	09			Pains	Fazenda Amargoso, MG 439 km 16.	20°23'14''S	45°38'59''W	-45.649722	-20.387222														HUEFS0094266																				
2024-10-29T07:39:29	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	245341	Plantae	Angiospermae			Leguminosae Subfam. Papilionoideae	Dahlstedtia	muehlbergiana		Dahlstedtia muehlbergiana	(Hassl.) M.J.Silva & A.M.G. Azevedo		2003	04	16	Melo, P.H.A.	575				L.P.de Queiroz	2018	12			Pains	Fazenda Amargosa, MG 439 Km 16.	20°22'52''S	45°39'43''W	-45.661944	-20.381111														HUEFS0245341																				
2024-10-11T10:10:52	PreservedSpecimen	Brasil	Minas Gerais	UFSCar	SORO	9279	Plantae				Cactaceae	Pereskia	aculeata		Pereskia aculeata	Mill.		2023	01	21	Köhler, M.;Franco, F. & Ursini, M.	579				Köhler, M..	2023	01	21		Pains	Vicinal da MG-170, , L45 - Pequeno afloramento de calcário Bambuí (pedra preta). Potreiro na volta, adensamento de vegetação arbórea nas encostas do afloramento.			-45.6614	-20.3706	18263		705	705									<nO>Vicejando sobre rochas, associado à vegetação arbustiva adensando sobre afloramento. Sem flores.</nO>	SORO009279																				
2024-10-29T07:39:33	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	243974	Plantae	Angiospermae			Leguminosae Subfam. Papilionoideae	Deguelia	costata		Deguelia costata	(Benth.) A.M.G.Azevedo & R.A.Camargo		2003	12	08	Melo, P.H.A.	979				L.P.de Queiroz	2018	12			Pains	Fazenda Amargoso, MG 439 Km 16.	20°22'52''S	45°39'43''W	-45.661944	-20.381111			650	700										HUEFS0243974																				
2024-10-29T07:34:48	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	245459	Plantae	Angiospermae			Begoniaceae	Begonia			Begonia			2006	04	22	Melo, P.H.A.	1525									Pains	Região do Córrego Barreado, afloramentos entremeados por cursos d'água.	20°20'23''S	45°36'57''W	-45.615833	-20.339722														HUEFS0245459																				
2024-10-29T07:24:57	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	75197	Plantae	Angiospermae			Rubiaceae	Coutarea	hexandra		Coutarea hexandra	(Jacq.) K.Schum.		2003	01	31	Melo, P.H.A.	351				J.A.Lombardi					Pains	Fazenda Amargoso, MG 439 Km 16.	20°23'14''S	45°38'59''W	-45.649722	-20.387222														HUEFS0075197																				
2023-08-07T16:32:29	PreservedSpecimen	Brasil	Minas Gerais	UFPB	JPB	54620	Plantae	Angiosperma			Rubiaceae	Chomelia	obtusa		Chomelia obtusa	Cham. & Schltdl.		2005	05	19	Melo, PHA; Viana, PL	1347				Pessoa, MCR	2013	05		Southern America	Pains	Fazenda Timburé, Área de mineração da empresa CastroCal.	-20.410556	-45.656944	-45.656944	-20.410556			0	0									<nO>; HABITAT: Mata ciliar degradada do Rio São Miguel.; DESC: Arbusto 3 metros de altura, flores verdes com tonalidades róseas.</nO>	JPB0054620																				
2024-10-11T10:10:52	PreservedSpecimen	Brasil	Minas Gerais	UFSCar	SORO	9278	Plantae				Cactaceae	Cereus	calcirupicola		Cereus calcirupicola	(F.Ritter) Rizzini		2023	01	21	Köhler, M.;Franco, F. & Ursini, M.	578				Franco, F.	2023	01	21		Pains	Vicinal da MG-170, L45 - Pequeno afloramento de calcário Bambuí (pedra preta). Potreiro na volta, adensamento de vegetação arbórea nas encostas do afloramento.			-45.6614	-20.3706	18263		705	705									<nO>Rupícola, colunar, ereto, ramificando desde a base, raro formando fuste, até ca. 4 m alt., 4-5-costelas, cladodios robustos, aréolas apicais inermes, espinhos curtos nos juvenis e nas aréolas basais. Sem flores. Raízes para DNA, Franco</nO>	SORO009278																				
2021-12-09T11:05:59	PreservedSpecimen	Brasil	Minas Gerais	IBt	SP	369842	Plantae				Euphorbiaceae	Tragia			Tragia			2003	04	15	Melo, PHA; Bezerra, FV	555									Pains	Fazenda Amargoso. MG 439 Km 16. Sobre afloramento calçareo	-20.387222	-45.649722	-45.649722	-20.387222			750	750										SP0369842																				
2024-10-29T07:28:10	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	245380	Plantae	Angiospermae			Verbenaceae	Petrea	volubilis		Petrea volubilis	L.		2006	11	25	Melo, P.H.A.	2436									Pains	Nascente do Rio São Miguel, Região do Onça.	20°25'53''S	45°37'9''W	-45.619167	-20.431389														HUEFS0245380																				
2024-10-29T07:33:25	PreservedSpecimen	Brasil	Minas Gerais	UEFS	HUEFS	245320	Plantae	Angiospermae			Poaceae	Pharus	lappulaceus		Pharus lappulaceus	Aubl.		2004	03	03	Melo, P.H.A.	1112				C.Silva	2018	12			Pains	Fazenda Amargoso, MG 439 Km 16.	20°22'52''S	45°39'4''W	-45.651111	-20.381111														HUEFS0245320																				
2023-06-13T20:26:20	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	88776	Plantae	Monocotyledon			Orchidaceae	Cranichis			Cranichis			2004	04	08	Melo, PHA de; et al.	1148								Southern America	Pains	Fazenda Amargoso, MG 439 km16.	-20.381	-45.651222	-45.651222	-20.381			700	750									<nO>Erva no subosque de mata seca entre rochas calcárias; flores brancas.</nO>																					
2023-06-13T20:26:20	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	90127	Plantae	Monocotyledon			Orchidaceae	Cranichis			Cranichis			2004	05	08	Melo, PHA de; et al.	1199								Southern America	Pains	Fazenda Amargoso, MG 439 km16.	-20.381056	-45.65125	-45.65125	-20.381056			670	670									<nO>Herbácea, próxima à nascente, flores brancas.</nO>																					
2020-12-11T11:35:20	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	88393	Plantae	Dicotyledon			Euphorbiaceae	Croton	rottlerifolius		Croton rottlerifolius	Baill.		2003	12	08	Melo, PHA de; Santos, GP	984								Southern America	Pains	Fazenda Amargoso, MG-439 Km16	-20.382083	-45.651167	-45.651167	-20.382083			650	650									<nO>Arbusto, flores creme; na borda de mata calcária secundária</nO>																					
2020-12-11T11:43:44	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	78621	Plantae	Monocotyledon			Cyperaceae	Cyperus	incomtus		Cyperus incomtus	Kunth		2003	01	31	Melo, PHA de; Lombardi, JA	355					2019	09		Southern America	Pains	Fazenda Amargoso., MG439, Km16	-20.387222	-45.649722	-45.649722	-20.387222			0	0									<nO>Herbácea. Terrestre.; Mata sobre afloramento calcáreo.</nO>	BHCB052170																				
2023-04-04T17:53:36	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	212694	Plantae	Dicotyledon			Dilleniaceae	Doliocarpus	dentatus	dentatus	Doliocarpus dentatus dentatus	(Aubl.) Standl.		2018	05	21	Bovini, MG; Baumgratz, JF; Ferreira, CD; Valente, B; Leite, G	4411					2022	08		Southern America	Pains	Estrada de chão para Pains, próximo ao rio São Miguel	-20.260833	-45.668611	-45.668611	-20.260833			660	660									<nO>Trepadeira semi-heliófila. Folhas cartáceas, levemente bicolores. Botões alvacentos com flores alvas; Estrada de chão</nO>	BHCB212694																				
2020-12-11T11:39:06	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	78545	Plantae	Dicotyledon			Myrtaceae	Eugenia			Eugenia	L.		2003	12	30	Melo, PHA de	279								Southern America	Pains	Fazenda Amargoso., MG 439, km 16	-20.387222	-45.649722	-45.649722	-20.387222			0	0									<nO>Árvore, 25 m. Terrestre. Frutos maduros laranja; Mata sobre afloramento calcáreo</nO>	BHCB020026																				
2024-05-29T12:24:25	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	94033	Plantae	Dicotyledon			Asteraceae	Eupatorium	megaphyllum		Eupatorium megaphyllum	Baker		2003	08	09	Melo, PHA de	795					2013	11	13	Southern America	Pains	Fazenda Amargoso, MG-439, Km 16.	-20.393056	-45.646389	-45.646389	-20.393056			750	750									<nO>Arbusto escandente, flores brancas, odor diurno doce suave.; Em sub-bosque de mata calcária.</nO>	BHCB011240																				
2023-01-13T17:22:56	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	81652	Plantae	Dicotyledon			Euphorbiaceae							2003	03	22	Melo, PHA de	500					2023			Southern America	Pains	Fazenda Amargoso, MG-439, Km 16.	-20.387222	-45.649722	-45.649722	-20.387222			0	0									<nO>Herbácea, rupestre, inflorescência esverdeada; Sobre afloramento calcário.</nO>	BHCB064042																				
2022-06-22T20:53:54	PreservedSpecimen	Brasil	Minas Gerais	UFMG	BHCB	93929	Plantae	Dicotyledon			Euphorbiaceae							2005	01	25	Melo, PHA de; Assunção, LN	1258								Southern America	Pains	Rio São Miguel, Divisa entre os municípios de Pains e Formiga. Região das nascentes do Rio.	-20.456194	-45.654222	-45.654222	-20.456194			700	800									<nO>Arbórea, ca. 6m. Látex leitoso, frutos imaturos verdes.; No sub-bosque de mata secundária dentro de uvala.</nO>	BHCB061326																				
