"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:RB:184083"|"RB"|"2014-07-08"|"RB"|"RB"|"RB00184083"|"368"|"P.H.A.Melo"|"2003-1-31"|"2003"|"1"|"31"|"Borda de mata relacionada a afloramento calcáreo. Árborea, 4m. Terrestre. Frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 km 16."|""|""|""|""|"-20.3872222"|"-45.6497222"|"V.F. Mansano"|"14/3/2005"|""|""|""|"Swartzia pilulifera Benth."|"LEGUMINOSAE"|"Swartzia"|"pilulifera"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"RB 409970"
"Collection"|"Creative Commons"|"urn:catalog:RB:115207"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00115207"|"516"|"P.H.A. Melo"|"2003-3-22"|"2003"|"3"|"22"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|""|""|""|""|""|""|"M.G.Silva"|"12/4/2007"|""|""|""|"Lonchocarpus muehlbergianus Hassl."|"LEGUMINOSAE"|"Lonchocarpus"|"muehlbergianus"|""|"specie"|"Hassl."|"Angiospermas"|""|"Plantae"|""|"RB 409963"
"Collection"|"Creative Commons"|"urn:catalog:RB:524793"|"RB"|"2019-01-18"|"RB"|"RB"|"RB00524793"|"1359"|"P. H. A. Melo"|"2005-5-28"|"2005"|"5"|"28"|"Arbórea, 10 m; crescendo no interior de mata sobre afloramento calcário; frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Reg. do Corumbá, próximo ao Morro do Marruá, Mineiração Agrocampo."|""|""|""|""|"-20.3486111"|"-45.6361111"|"A.C.D.Castello"|"11/2018"|""|""|""|"Aspidosperma camporum Muell. Arg"|"APOCYNACEAE"|"Aspidosperma"|"camporum"|""|"specie"|"Muell. Arg"|"Angiospermas"|""|"Plantae"|""|"RB 465192"
"Collection"|"Creative Commons"|"urn:catalog:RB:860320"|"RB"|"2017-10-10"|"RB"|"RB"|"RB00860320"|"3"|"T. Mansur"|"2008-11-28"|"2008"|"11"|"28"|""|""|"Brasil"|"Minas Gerais"|"Pains"|""|""|""|""|""|"-20.6191667"|"-45.9947222"|"M.B.R.CARUZO"|"13/7/2016"|""|""|""|"Croton rottlerifolius Baill."|"EUPHORBIACEAE"|"Croton"|"rottlerifolius"|""|"specie"|"Baill."|"Angiospermas"|""|"Plantae"|""|"RB 600240"
"Collection"|"Creative Commons"|"urn:catalog:RB:584411"|"RB"|"2014-07-07"|"RB"|"RB"|"RB00584411"|"422"|"P.H.A. Melo"|"2003-3-6"|"2003"|"3"|"6"|"Arbusto escandente 3 m, terrestre, frutos imaturos vermelhos."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|""|""|""|""|""|""|"G.V. Somner"|"19/4/2013"|""|""|""|"Paullinia meliifolia Juss."|"SAPINDACEAE"|"Paullinia"|"meliifolia"|""|"specie"|"Juss."|"Angiospermas"|""|"Plantae"|""|"RB 494243"
"Collection"|"Creative Commons"|"urn:catalog:RB:606338"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00606338"|"1236"|"P.H.A.Melo"|"2004-7-29"|"2004"|"7"|"29"|"Herbácea sobre afloramento calcário com flores vermelhas."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso,MG 439 Km 16."|"670m"|""|""|""|"-20.5105556"|"-45.6625000"|"V.G.Fernandes"|"19/6/2017"|""|""|""|"Ruellia brevifolia (Pohl) C.Ezcurra"|"ACANTHACEAE"|"Ruellia"|"brevifolia"|""|"specie"|"(Pohl) C.Ezcurra"|"Angiospermas"|""|"Plantae"|""|"RB 440890"
"Collection"|"Creative Commons"|"urn:catalog:RB:418881"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00418881"|"187"|"R. A. X. Borges"|"2006-7-13"|"2006"|"7"|"13"|"Liana escandente, flores avermelhados."|""|"Brasil"|"Minas Gerais"|"Pains"|"Mineração Vale do São Miguel."|"720 m."|""|""|""|"-20.3541667"|"-45.6733334"|""|""|""|""|""|"Serjania pinnatifolia Radlk."|"SAPINDACEAE"|"Serjania"|"pinnatifolia"|""|"specie"|"Radlk."|"Angiospermas"|""|"Plantae"|""|"RB 429341"
"Collection"|"Creative Commons"|"urn:catalog:RB:115208"|"RB"|"2017-11-19"|"RB"|"RB"|"RB00115208"|"1090"|"P.H.A. Melo"|"2004-2-16"|"2004"|"2"|"16"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda  Amargoso,  MG  439  Km  16,  divisa  com  Francisco  Gonçalves  Costa."|"700"|""|""|""|""|""|""|""|""|""|""|"Lonchocarpus"|"LEGUMINOSAE"|"Lonchocarpus"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 409964"
"Collection"|"Creative Commons"|"urn:catalog:RB:653893"|"RB"|"2011-09-19"|"RB"|"RB"|"RB00653893"|"434"|"PHA Melo"|"2003-3-6"|"2003"|"3"|"6"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|""|""|""|""|""|""|""|""|""|""|""|"Justicia"|"ACANTHACEAE"|"Justicia"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 440891"
"Collection"|"Creative Commons"|"urn:catalog:RBcarpo:774366"|"RBcarpo"|"2014-05-16"|"RB"|"RB"|"RBcarpo00774366"|"211"|"R.A.X. Borges"|"2006-7-11"|"2006"|"7"|"11"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Mineração Vale do São Miguel."|"642"|""|""|""|"-20.3644444"|"-45.6736111"|""|""|""|""|""|"Arrabidaea"|"BIGNONIACEAE"|"Arrabidaea"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RBcarpo 6338"
"Collection"|"Creative Commons"|"urn:catalog:RB:275147"|"RB"|"2023-08-29"|"RB"|"RB"|"RB00275147"|"274"|"P.H.A.Melo"|"2003-12-30"|"2003"|"12"|"30"|"Herbácea, rupestre, espiga branca"|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, 439 km 16 ."|""|""|""|""|"-20.3872222"|"-45.6497222"|"J.M.Marcusso"|"8/2023"|""|""|""|"Peperomia claussenii Yunck."|"PIPERACEAE"|"Peperomia"|"claussenii"|""|"specie"|"Yunck."|"Angiospermas"|""|"Plantae"|""|"RB 399827"
"Collection"|"Creative Commons"|"urn:catalog:RB:525447"|"RB"|"2017-10-15"|"RB"|"RB"|"RB00525447"|"1151"|"P. H. A. Melo"|"2004-4-8"|"2004"|"4"|"8"|"Arbusto sobre afloramento calcário; flores amarelas; frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG-439, KM 16."|"700-750 msm"|""|""|""|"-20.3808334"|"-45.6511111"|""|""|""|""|""|"Dimerostemma"|"ASTERACEAE"|"Dimerostemma"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 465659"
"Collection"|"Creative Commons"|"urn:catalog:RB:523348"|"RB"|"2014-07-22"|"RB"|"RB"|"RB00523348"|"8"|"P. H. A. Melo"|"2002-8-8"|"2002"|"8"|"8"|"Herbácea escandente."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Massambará."|""|""|""|""|""|""|"M. Carvalho-Silva"|"11/2007"|""|""|""|"Peperomia nitida Dahlst."|"PIPERACEAE"|"Peperomia"|"nitida"|""|"specie"|"Dahlst."|"Angiospermas"|""|"Plantae"|""|"RB 399831"
"Collection"|"Creative Commons"|"urn:catalog:RB:635116"|"RB"|"2017-10-10"|"RB"|"RB"|"RB00635116"|"189"|"R.A.X. Borges"|"2006-7-13"|"2006"|"7"|"13"|"Região carstica; encosta de afloramento calcáreo com a presença de lianas e rupicolas - LIana escandente, folhas rijas, concolores"|""|"Brasil"|"Minas Gerais"|"Pains"|""|""|""|""|""|"-20.3541667"|"-45.6733334"|""|""|""|""|""|"Smilax"|"SMILACACEAE"|"Smilax"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 427375"
"Collection"|"Creative Commons"|"urn:catalog:RB:554628"|"RB"|"2017-10-19"|"RB"|"RB"|"RB00554628"|"1211"|"P.H.A. Mello"|"2004-6-26"|"2004"|"6"|"26"|"Arbórea, encosta de mata sobre afloramento calcário, flores senescentes, frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso MG 439 Km 16."|"670 m"|""|""|""|"-20.3808334"|"-45.6511111"|"M. Sobral"|""|""|""|""|"Trichilia catigua A.Juss."|"MELIACEAE"|"Trichilia"|"catigua"|""|"specie"|"A.Juss."|"Angiospermas"|""|"Plantae"|""|"RB 477741"
"Collection"|"Creative Commons"|"urn:catalog:RB:861492"|"RB"|"2023-08-02"|"RB"|"RB"|"RB00861492"|"7"|"T. Mansur"|"2008-11-28"|"2008"|"11"|"28"|""|""|"Brasil"|"Minas Gerais"|"Pains"|""|""|""|""|""|"-20.6166667"|"-45.9833333"|"G.I. Oliveira"|"25/7/2023"|""|""|""|"Luehea divaricata Mart."|"MALVACEAE"|"Luehea"|"divaricata"|""|"specie"|"Mart."|"Angiospermas"|""|"Plantae"|""|"RB 600608"
"Collection"|"Creative Commons"|"urn:catalog:RB:1416222"|"RB"|"2019-08-16"|"RB"|"RB"|"RB01416222"|"4407"|"M.G.Bovini"|"2018-5-21"|"2018"|"5"|"21"|"Arbusto ciófilo, ca. 2m. Folhas cartáceas, bicolores. Frutos maduros com cálice persistente vinoso-marrom e arilo alvacento-rosado."|""|"Brasil"|"Minas Gerais"|"Pains"|"Calciolândia, acompanhando a linha do trem, próximo a margem do rio São Miguel, Área de extração de calcário 652m"|""|""|""|""|"-20.2380555"|"-45.6641667"|""|""|""|""|""|"CELASTRACEAE"|"CELASTRACEAE"|""|""|""|"family"|""|"Angiospermas"|""|"Plantae"|""|"RB 791813"
"Collection"|"Creative Commons"|"urn:catalog:RB:526302"|"RB"|"2017-10-17"|"RB"|"RB"|"RB00526302"|"572"|"P. H. A. Melo "|"2003-4-15"|"2003"|"4"|"15"|"Trepadeira, terrestre, frutos imaturos verdes com alas avermelhadas. "|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 km 16."|"Ca. 750-810 m."|""|""|""|"-20.3872222"|"-45.6497222"|"Maria S. Ferrucci"|"2013"|""|""|""|"Serjania meridionalis Cambess."|"SAPINDACEAE"|"Serjania"|"meridionalis"|""|"specie"|"Cambess."|"Angiospermas"|""|"Plantae"|""|"RB 466255"
"Collection"|"Creative Commons"|"urn:catalog:RB:115238"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00115238"|"510"|"P.H.A. Melo"|"2003-3-22"|"2003"|"3"|"22"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|""|""|""|""|""|""|""|""|""|""|""|"Desmodium"|"LEGUMINOSAE"|"Desmodium"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 409959"
"Collection"|"Creative Commons"|"urn:catalog:RB:471038"|"RB"|"2017-10-19"|"RB"|"RB"|"RB00471038"|"177"|"R.A.X. Borges"|"2006-7-12"|"2006"|"7"|"12"|"Erva rizomatosa, rupícola, folhas levemente discolores, espádice castanha."|""|"Brasil"|"Minas Gerais"|"Pains"|"Mineiração Vale do São Miguel."|"688 m"|""|""|""|"-20.3572222"|"-45.6738889"|"M. Nadruz"|""|""|""|""|"Anthurium pentaphyllum (Aubl.) G.Don"|"ARACEAE"|"Anthurium"|"pentaphyllum"|""|"specie"|"(Aubl.) G.Don"|"Angiospermas"|""|"Plantae"|""|"RB 427805"
"Collection"|"Creative Commons"|"urn:catalog:RB:526307"|"RB"|"2017-10-17"|"RB"|"RB"|"RB00526307"|"642"|"P. H. A. Melo "|"2003-5-25"|"2003"|"5"|"25"|"Terrestre, inflorescência amarela. "|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 km 16."|"Ca. 750-810 m."|""|""|""|"-20.3872222"|"-45.6497222"|""|""|""|""|""|"Serjania"|"SAPINDACEAE"|"Serjania"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 466258"
"Collection"|"Creative Commons"|"urn:catalog:RB:533815"|"RB"|"2008-09-15"|"RB"|"RB"|"RB00533815"|"638"|"P. H. A. Melo"|"2003-5-25"|"2003"|"5"|"25"|"Herbácea, terrestre, corola roxa."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 km 16."|""|""|""|""|""|""|"Profice"|"2008"|""|""|""|"Justicia thunbergioides (Lindau) Leonard"|"ACANTHACEAE"|"Justicia"|"thunbergioides"|""|"specie"|"(Lindau) Leonard"|"Angiospermas"|""|"Plantae"|""|"RB 440893"
"Collection"|"Creative Commons"|"urn:catalog:RB:490044"|"RB"|"2016-09-20"|"RB"|"RB"|"RB00490044"|"431"|"P. H. A. Melo "|"2003-3-6"|"2003"|"3"|"6"|"Herbácea, rupestre, inflorescência verde"|""|"Brasil"|"Minas Gerais"|"Pains"|"Faz. Amargoso, MG 439 km 16."|""|""|""|""|""|""|"A.A.C.SOUSA"|"14/7/2016"|""|""|""|"Acalypha gracilis Spreng."|"EUPHORBIACEAE"|"Acalypha"|"gracilis"|""|"specie"|"Spreng."|"Angiospermas"|""|"Plantae"|""|"RB 442480"
"Collection"|"Creative Commons"|"urn:catalog:RB:527018"|"RB"|"2017-10-15"|"RB"|"RB"|"RB00527018"|"1305"|"P. H. A. Melo"|"2005-2-27"|"2005"|"2"|"27"|"Arbusto crescendo na borda de mata seca, inflorescências brancas, frutos imaturos verdes com tricomas brancos."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fronteira entre os municípios de Pains e Formiga - região das nascentes do Rio São MIguel."|"700-800 msm"|""|""|""|"-20.4561111"|"-45.6541667"|"A.A.C.SOUSA"|"14/7/2016"|""|""|""|"Acalypha multicaulis Müll.Arg."|"EUPHORBIACEAE"|"Acalypha"|"multicaulis"|""|"specie"|"Müll.Arg."|"Angiospermas"|""|"Plantae"|""|"RB 466640"
"Collection"|"Creative Commons"|"urn:catalog:RB:483961"|"RB"|"2014-12-17"|"RB"|"RB"|"RB00483961"|"563"|"P.H.A.Melo"|"2003-4-15"|"2003"|"4"|"15"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 km 16."|""|""|""|""|"-20.3872222"|"-45.6497222"|"L.P. de Queiroz"|"2009"|""|""|""|"Neonotonia wightii (Graham ex Wight & Arn.) J.A.Lackey"|"LEGUMINOSAE"|"Neonotonia"|"wightii"|""|"specie"|"(Graham ex Wight & Arn.) J.A.Lackey"|"Angiospermas"|""|"Plantae"|""|"RB 440710"
"Collection"|"Creative Commons"|"urn:catalog:RB:523424"|"RB"|"2017-10-19"|"RB"|"RB"|"RB00523424"|"760"|"P. H. A. Melo"|"2003-3-6"|"2003"|"3"|"6"|"Trepadeira, terrestre; flor cor branca."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 (Km 16)."|"750 a 810 m"|""|""|""|""|""|"G.V. Somner & L.A. Pereira"|"28/3/2013"|""|""|""|"Serjania caracasana (Jacq.) Willd."|"SAPINDACEAE"|"Serjania"|"caracasana"|""|"specie"|"(Jacq.) Willd."|"Angiospermas"|""|"Plantae"|""|"RB 464498"
"Collection"|"Creative Commons"|"urn:catalog:RB:115236"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00115236"|"1207"|"P.H.A. Melo"|"2004-6-26"|"2004"|"6"|"26"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|"670"|""|""|""|""|""|""|""|""|""|""|"Machaerium scleroxylon Tul."|"LEGUMINOSAE"|"Machaerium"|"scleroxylon"|""|"specie"|"Tul."|"Angiospermas"|""|"Plantae"|""|"RB 409965"
"Collection"|"Creative Commons"|"urn:catalog:RB:861168"|"RB"|"2017-10-10"|"RB"|"RB"|"RB00861168"|"6"|"T. Mansur"|"2008-11-28"|"2008"|"11"|"28"|""|""|"Brasil"|"Minas Gerais"|"Pains"|""|""|""|""|""|"-23.6191667"|"-45.9947222"|""|""|""|""|""|"Ocotea"|"LAURACEAE"|"Ocotea"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 600504"
"Collection"|"Creative Commons"|"urn:catalog:RB:115224"|"RB"|"2017-10-18"|"RB"|"RB"|"RB00115224"|"430"|"P.H.A. Melo"|"2003-3-6"|"2003"|"3"|"6"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|""|""|""|""|""|""|"Robson D. Ribeiro"|"2005"|""|"cf."|""|"Machaerium scleroxylon Tul."|"LEGUMINOSAE"|"Machaerium"|"scleroxylon"|""|"specie"|"Tul."|"Angiospermas"|""|"Plantae"|""|"RB 409966"
"Collection"|"Creative Commons"|"urn:catalog:RB:416709"|"RB"|"2017-10-19"|"RB"|"RB"|"RB00416709"|"180"|"R. X. Borges"|"2006-7-13"|"2006"|"7"|"13"|"Liana escandente, ramos verde-vináceos, cálice verde, corola e corona alvas, gineceu e androceu verde-claros. Frutos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Mineração Vale do São Miguel."|"720 m"|""|""|""|"-20.3541667"|"-45.6733334"|""|""|""|""|""|"Passiflora"|"PASSIFLORACEAE"|"Passiflora"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 427362"
"Collection"|"Creative Commons"|"urn:catalog:RBR:36928"|"RBR"|"2020-06-25"|"RBR"|"RBR"|"RBR00036928"|"183"|"R.A.X. Borges"|"2006-7-13"|"2006"|"7"|"13"|""|""|"Brasil"|"Minas Gerais"|""|"Mineração Vale de São Miguel, Pains, 20° 21´ 15"" S, 45° 40´ 24"" W Alt: 720 m."|"-9999"|"0"|""|""|""|""|"E.L. Jacques"|"8/2006"|""|""|""|"Begonia reniformis Dryand."|"BEGONIACEAE"|"Begonia"|"reniformis"|""|"specie"|"Dryand."|"Angiospermas"|""|"Plantae"|""|"RBR 36928"
"Collection"|"Creative Commons"|"urn:catalog:RBR:37890"|"RBR"|"2020-06-25"|"RBR"|"RBR"|"RBR00037890"|"162"|"R.A.X. Borges"|"2006-7-12"|"2006"|"7"|"12"|""|""|"Brasil"|"Minas Gerais"|""|"Pains 20°21´35"" S 45°40´26""W Alti.: 613m, Mineiração Vale São Miguel"|"-9999"|"0"|""|""|""|""|"M.S. Faria"|"2008"|""|""|""|"Thinouia mucronata Radlk."|"SAPINDACEAE"|"Thinouia"|"mucronata"|""|"specie"|"Radlk."|"Angiospermas"|""|"Plantae"|""|"RBR 37890"
